Controller,CMACC,CMDEC,Ego acc,SpeedDifF,SpeedDifL,OverLimit,DistError,EDF,FSF,Front acc,FAF,Front throttle,Front brake,FrOvLi,LSF,Leader acc,LAF,Leader throttle,Leader brake,Max acc,max dec,max throttle,max brake,Technique
Distance,2,-3.5,0,0,0,0.0000,0,FailureType.no_failure,FailureType.omission,0,FailureType.no_failure,0.5,0.0000,0,FailureType.no_failure,0,FailureType.no_failure,0.5,0,0,0.0000,0.5,0.0000,NO
Distance,2,-3.5,0,0,0,0.0000,0,FailureType.no_failure,FailureType.no_failure,0,FailureType.omission,0.5,0.0000,0,FailureType.no_failure,0,FailureType.no_failure,0.5,0,0,0.0000,0.5,0.0000,NO
Distance,2,-3.5,0,0,0,0.0000,0,FailureType.no_failure,FailureType.no_failure,0,FailureType.no_failure,0.5,0.0000,0,FailureType.no_failure,0,FailureType.omission,0.5,0,0,0.0000,0.5,0.0000,NO
Distance,2.75,-5,0,0,0,0.0000,0,FailureType.no_failure,FailureType.no_failure,0,FailureType.no_failure,0.5,0.0000,0,FailureType.no_failure,0,FailureType.no_failure,0.5,0,0,0.0000,0.5,0.0000,NO
Distance,2.75,-5,0,0,0,0.0000,0,FailureType.no_failure,FailureType.no_failure,0,FailureType.no_failure,0.5,0.0000,0,FailureType.omission,0,FailureType.no_failure,0.5,0,0,0.0000,0.5,0.0000,PA
Distance,2.75,-5,0,0,0,0.0000,0,FailureType.no_failure,FailureType.omission,0,FailureType.no_failure,0.5,0.0000,0,FailureType.no_failure,0,FailureType.no_failure,0.5,0,0,0.0000,0.5,0.0000,PA
Distance,2.75,-5,0,0,0,0.0000,0,FailureType.no_failure,FailureType.no_failure,0,FailureType.omission,0.5,0.0000,0,FailureType.no_failure,0,FailureType.no_failure,0.5,0,0,0.0000,0.5,0.0000,PA
Distance,2.75,-5,0,0,0,0.0000,0,FailureType.no_failure,FailureType.no_failure,0,FailureType.no_failure,0.5,0.0000,0,FailureType.no_failure,0,FailureType.omission,0.5,0,0,0.0000,0.5,0.0000,PA
Distance,2,-3.5,0,0,0,0.0000,0,FailureType.no_failure,FailureType.no_failure,0,FailureType.no_failure,0.5,0.0000,0,FailureType.no_failure,0,FailureType.no_failure,0.5,0,0,0.0000,0.5,0.0000,PA
Distance,2,-3.5,0,0,0,0.0000,0,FailureType.no_failure,FailureType.no_failure,0,FailureType.no_failure,0.5,0.0000,0,FailureType.omission,0,FailureType.no_failure,0.5,0,0,0.0000,0.5,0.0000,NO
Distance,2,-3.5,0,0,0,0.0000,0,FailureType.no_failure,FailureType.omission,0,FailureType.no_failure,0.5,0.0000,0,FailureType.no_failure,0,FailureType.no_failure,0.5,0,0,0.0000,0.5,0.0000,NO
Distance,2,-3.5,0,0,0,0.0000,0,FailureType.no_failure,FailureType.no_failure,0,FailureType.omission,0.5,0.0000,0,FailureType.no_failure,0,FailureType.no_failure,0.5,0,0,0.0000,0.5,0.0000,NO
Distance,2,-3.5,0,0,0,0.0000,0,FailureType.no_failure,FailureType.no_failure,0,FailureType.no_failure,0.5,0.0000,0,FailureType.no_failure,0,FailureType.omission,0.5,0,0,0.0000,0.5,0.0000,NO
Distance,2,-3.5,-0.0755,100.0,100.0,10.2418,8.3103,FailureType.no_failure,FailureType.omission,4.6825,FailureType.omission,-1.0000,-1.0000,0,FailureType.omission,4.6825,FailureType.omission,-1.0000,-1.0000,0.0000,-1.0000,0.0000,0.0000,SA
Distance,2,-3.5,-0.0908,100.0,100.0,10.4482,2.0844,FailureType.no_failure,FailureType.omission,4.5084,FailureType.omission,-1.0000,-1.0000,0,FailureType.omission,4.5084,FailureType.omission,-1.0000,-1.0000,0.0000,-1.0000,0.0000,0.0000,SA
Distance,2,-3.5,-0.1106,100.0,100.0,10.651,2.0656,FailureType.no_failure,FailureType.omission,4.3619,FailureType.omission,-1.0000,-1.0000,0,FailureType.omission,4.3619,FailureType.omission,-1.0000,-1.0000,0.0000,-1.0000,0.0000,0.0000,SA
Distance,2,-3.5,-0.126,100.0,100.0,10.8515,2.047,FailureType.no_failure,FailureType.omission,4.2476,FailureType.omission,-1.0000,-1.0000,0,FailureType.omission,4.2476,FailureType.omission,-1.0000,-1.0000,0.0000,-1.0000,0.0000,0.0000,SA
Distance,2,-3.5,-0.1274,100.0,100.0,11.0505,2.0285,FailureType.no_failure,FailureType.omission,4.1580,FailureType.omission,-1.0000,-1.0000,0,FailureType.omission,4.1580,FailureType.omission,-1.0000,-1.0000,0.0000,-1.0000,0.0000,0.0000,SA
